rank;name;city;coordinates;country;passengers;
1;Hartsfield–Jackson Atlanta International Airport;Atlanta;33.636667, -84.428056;United States;101491106;
2;Beijing Capital International Airport;Beijing;40.0725, 116.5975;China;89938628;
3;Dubai International Airport;Dubai;25.252778, 55.364444;United Arab Emirates;78014841;
4;O'Hare International Airport;Chicago;41.978611, -87.904722;United States;76942493;
5;Tokyo Haneda Airport;Tokyo;35.553333, 139.781111;Japan;75316718;
6;London Heathrow Airport;London;51.4775, -0.461389;United Kingdom;74989795;
7;Los Angeles International Airport;Los Angeles;33.9425, -118.408056;United States;74937004;
8;Hong Kong International Airport;Hong Kong;22.308889, 113.914444;Hong Kong;68283407;
9;Paris-Charles de Gaulle Airport;Paris;49.009722, 2.547778;France;65766986;
10;Dallas/Fort Worth International Airport;Dallas-Fort Worth;32.896944, -97.038056;United States;64072468;
11;Istanbul Atatürk Airport;Istanbul;40.976111, 28.814167;Turkey;61836781;
12;Frankfurt International Airport;Frankfurt;50.033333, 8.570556;Germany;61032022;
13;Shanghai Pudong International Airport;Shanghai;31.143333, 121.805278;China;60053387;
14;Amsterdam Airport Schiphol;Amsterdam;52.308056, 4.764167;The Netherlands;58284864;
15;John F. Kennedy International Airport;New York;40.639722, -73.778889;United States;56827154;
16;Singapore Changi Airport;Singapore;1.359211, 103.989306;Singapore;55449000;
17;Guangzhou Baiyun International Airport;Guangzhou;23.3925, 113.298889;China;55201915;
18;Soekarno-Hatta International Airport;Jakarta;-6.125556, 106.655833;Indonesia;54053905;
19;Denver International Airport;Denver;39.861667, -104.673056;United States;54014502;
20;Suvarnabhumi Airport;Bangkok;13.6925, 100.75;Thailand;52808013;
21;San Francisco International Airport;San Francisco;37.618889, -122.375;United States;50057887;
22;Seoul Incheon International Airport;Seoul;37.463333, 126.44;Republic of Korea;49412750;
23;Kuala Lumpur International Airport;Kuala Lumpur;2.743333, 101.698056;Malaysia;48938424;
24;Madrid Barajas Airport;Madrid;40.472222, -3.560833;Spain;46779554;
25;Indira Gandhi International Airport;Delhi;28.568611, 77.112222;India;45981773;
26;McCarran International Airport;Las Vegas;36.08, -115.152222;United States;45356580;
27;Charlotte Douglas International Airport;Charlotte;35.213889, -80.943056;United States;44876627;
28;Miami International Airport;Miami;25.793333, -80.290556;United States;44350247;
29;Phoenix Sky Harbor International Airport;Phoenix;33.434167, -112.011667;United States;44003840;
30;George Bush Intercontinental Airport;Houston;29.984444, -95.341389;United States;43023224;
31;Seattle-Tacoma International Airport;Seattle;47.448889, -122.309444;United States;42340461;
32;Chengdu Shuangliu International Airport;Chengdu;30.578333, 103.946944;China;42244842;
33;Toronto Pearson International Airport;Toronto;43.676667, -79.630556;Canada;41036847;
34;Munich Airport;Munich;48.353889, 11.786111;Germany;40981522;
35;Chhatrapati Shivaji International Airport;Mumbai;19.088611, 72.868056;India;40637377;
36;Leonardo da Vinci–Fiumicino Airport;Rome;41.800278, 12.238889;Italy;40422156;
37;London Gatwick Airport;London;51.148056, -0.190278;United Kingdom;40271343;
38;Sydney Kingsford-Smith Airport;Sydney;-33.946111, 151.177222;Australia;39914103;
39;Shenzhen Bao'an International Airport;Shenzhen;22.639444, 113.810833;China;39721619;
40;Barcelona–El Prat Airport;Barcelona;41.296944, 2.078333;Spain;39674095;
41;São Paulo-Guarulhos International Airport;São Paulo;-23.435556, -46.473056;Brazil;39213865;
42;Shanghai Hongqiao International Airport;Shanghai;31.198056, 121.336389;China;39090699;
43;Orlando International Airport;Orlando;28.429444, -81.308889;United States;38727749;
44;Taiwan Taoyuan International Airport;Taipeh;25.076389, 121.223889;Taiwan;38473333;
45;Benito Juárez International Airport;Mexico City;19.436111, -99.071944;Mexico;38433288;
46;Kunming Changshui International Airport;Kunming;25.101944, 102.929167;China;37523345;
47;Newark Liberty International Airport;Newark;40.6925, -74.168611;United States;37494704;
48;Narita International Airport;Tokyo;35.765278, 140.385556;Japan;37268307;
49;Ninoy Aquino International Airport;Manila;14.508611, 121.019444;Philippines;36583459;
50;Minneapolis/St Paul International Airport;St. Paul;44.881944, -93.221667;United States;36556281;
